Date,Region,AvgPrice,4046,4225,4770,SBags,LBags,XLBags,TotalBags,TotalVol,Type.Conventional,Type.Organic,Longitude,Latitude
14/01/2018,Portland,1.82,3966.9,4441.29,0,1364.14,11187.07,5.56,12556.77,20964.96,0,1,-122.676483,45.523064
14/01/2018,Grand Rapids,1.32,14.16,1519.63,0,8744.72,29.9,0,8774.62,10308.41,0,1,-85.670006,42.963795
14/01/2018,Plains,1.73,4071.65,16536.4,2.44,29216.82,14057.4,0,43274.22,63884.71,0,1,-100.58976,37.262032
14/01/2018,Great Lakes,1.45,5573.56,58518.98,0,130909.33,48830.6,0,179739.93,243959.31,0,1,-82.484612,45.052238
14/01/2018,New Orleans/Mobile,1.15,170097.6,22912.24,2542,76659.09,17342.95,1017.78,95019.82,290571.66,1,0,-90.071533,29.95106
14/01/2018,Pittsburgh,1.39,1422.34,38.22,0,11880.17,3.33,0,11883.5,13344.06,0,1,-79.995888,40.440624
14/01/2018,Phoenix/Tucson,1.77,3618.9,2795.53,0,7086.72,13.21,0,7099.93,13514.36,0,1,-112.074036,33.448376
14/01/2018,California,1.27,2098762.55,2356359.93,151045.33,1226559.09,25390.97,68898.86,1320848.92,5927016.73,1,0,-119.417931,36.778259
14/01/2018,Detroit,1.32,750.22,3266.56,0,15422.79,1176.19,0,16598.98,20636.96,0,1,-83.045753,42.331429
14/01/2018,Denver,1.53,8395.91,839.11,53.61,25789.59,1423.6,0,27213.19,36501.82,0,1,-104.991531,39.742043
14/01/2018,West Tex/New Mexico,1.93,1527.63,2981.04,727.01,10919.54,50,0,10969.54,16205.22,0,1,-106.018066,34.307144
14/01/2018,Orlando,1.4,258150.99,26672.33,1199.66,68412.96,33152.53,0,101565.49,387588.47,1,0,-81.379234,28.538336
14/01/2018,Baltimore/Washington,1.49,91785.6,485963.15,4234.82,212956.99,4783,3.33,217743.32,799726.89,1,0,-120.740135,47.751076
14/01/2018,Dallas/Ft. Worth,0.93,677477.52,316020.36,7862.07,240134.19,91381.56,304.98,331820.73,1333180.68,1,0,-96.808891,32.779167
14/01/2018,Harrisburg/Scranton,1.25,80067.78,121405.45,189.01,62453.61,13500.86,0,75954.47,277616.71,1,0,-76.890739,40.26368
14/01/2018,Richmond/Norfolk,1.33,354.81,3471.49,78.62,13243.48,1104.6,0,14348.08,18253,0,1,-77.4360481,37.5407246
14/01/2018,Roanoke,1.55,187.7,2080.55,0,5644.04,1686.06,0,7330.1,9598.35,0,1,-79.941429,37.270969
14/01/2018,Sacramento,1.6,3653.04,4484.42,0,1802.23,0,0,1802.23,9939.69,0,1,-121.478851,38.575764
14/01/2018,San Diego,1.81,3285.98,14338.52,0,4145.52,0,0,4145.52,21770.02,0,1,-117.161087,32.71536
14/01/2018,Jacksonville,1.41,105265.46,11039.81,332.17,30382.8,34981.97,387.78,65752.55,182389.99,1,0,-81.655647,30.332184
14/01/2018,Southeast,1.31,2371136.88,403224.01,17012.38,845928.49,540110.99,21579.39,1407618.87,4198992.14,1,0,,
14/01/2018,San Francisco,1.32,19301.15,14957.23,0,3089.51,0,0,3089.51,37347.89,0,1,-122.431297,37.773972
14/01/2018,Dallas/Ft. Worth,1.54,5179.65,577.3,0,16878.39,2993.27,0,19871.66,25628.61,0,1,-96.808891,32.779167
14/01/2018,Atlanta,1.1,298975.97,60229.21,1604.9,171508.47,134436.39,4011.1,309955.96,670766.04,1,0,-84.387985,33.748997
14/01/2018,Los Angeles,1.28,1104367.71,403918.08,101443.02,739977.4,16783.17,42670.22,799430.79,2409159.6,1,0,-118.243683,34.052235
14/01/2018,Raleigh/Greensboro,1.53,119.42,6900.26,219.92,15798.76,320.65,0,16119.41,23359.01,0,1,-78.644257,35.787743
14/01/2018,Harrisburg/Scranton,1.45,175.52,199.52,5.07,23446.63,0,0,23446.63,23826.74,0,1,-76.890739,40.26368
14/01/2018,Philadelphia,1.63,2315.82,3563.73,8.4,24402.26,49.5,0,24451.76,30339.71,0,1,-75.165222,39.952583
14/01/2018,Houston,1.49,11013.42,108.93,0,23953.75,446.67,0,24400.42,35522.77,0,1,-95.358421,29.749907
14/01/2018,Miami /Ft. Lauderdale,1.44,50.65,203.7,0,7700,3.33,0,7703.33,7957.68,0,1,-80.191788,25.761681
14/01/2018,Louisville,1.54,0,1199.91,0,1769.94,768,0,2537.94,3737.85,0,1,-85.7584557,38.2526647
14/01/2018,Los Angeles,1.68,15769.61,39738.42,0,51104.4,12.2,0,51116.6,106624.63,0,1,-118.243683,34.052235
14/01/2018,Raleigh/Greensboro,1.29,88430.39,138123.95,6178.1,119713.01,8326.87,0,128039.88,360772.32,1,0,-78.644257,35.787743
14/01/2018,Las Vegas,1.98,1497.55,2199.58,0,6180.41,6.4,0,6186.81,9883.94,0,1,-115.172813,36.114647
14/01/2018,Midsouth,1.48,2747.68,51221.04,926.79,152552.08,10922.16,0,163474.24,218369.75,0,1,,
14/01/2018,San Francisco,1.21,193892.28,785766.05,2860.37,130904.76,944.69,3008.84,134858.29,1117376.99,1,0,-122.431297,37.773972
14/01/2018,Houston,0.95,548774.22,292561.6,6066.33,355573.55,113294.7,76.67,468944.92,1316347.07,1,0,-95.358421,29.749907
14/01/2018,Denver,1.1,178992.28,323916.08,11963.62,121454.8,366815.69,0,488270.49,1003142.47,1,0,-104.991531,39.742043
14/01/2018,West,1.05,2249412.86,2028819.77,113257.03,1152416.21,2017353.32,16196.95,3185966.48,7577456.14,1,0,,
14/01/2018,Buffalo/Rochester,1.32,8239.41,80916.85,40.26,27693.23,42180.9,0,69874.13,159070.65,1,0,-78.878738,42.88023
14/01/2018,Indianapolis,1.46,221.76,1861.23,0,8183.14,3360.87,0,11544.01,13651.18,0,1,-86.148003,39.791
14/01/2018,New York,1.67,39681.84,818051.5,1338.06,415694.04,19384.27,0,435078.31,1294149.71,1,0,-73.935242,40.73061
14/01/2018,Tampa,1.41,286535.45,36727.96,1153,76263.43,45949.71,0,122213.14,446629.55,1,0,-82.452606,27.964157
14/01/2018,San Diego,1.41,160896.99,136499.29,21680.72,113513.51,4689.39,2372.22,120575.12,439652.12,1,0,-117.161087,32.71536
14/01/2018,Northeast,1.49,282970.7,2558511.27,8555.47,955649.36,267714.63,6.95,1223370.94,4073408.38,1,0,,
14/01/2018,Hartford/Springfield,1.53,6006.14,215891.85,128.82,60219.1,6878.4,0,67097.5,289124.31,1,0,-89.65002,39.79999
14/01/2018,Northern New England,1.42,11067.05,322712.21,2011.52,29827.25,53758.59,0,83585.84,419376.62,1,0,-71.382437,42.407211
14/01/2018,Boise,1.15,49335.23,7414.97,8298.95,19135.96,26830.36,97.64,46063.96,111113.11,1,0,-116.215019,43.618881
14/01/2018,Columbus,1.3,977,1620.14,0,7350.79,476.4,0,7827.19,10424.33,0,1,-82.98333,39.983334
14/01/2018,Louisville,1.15,12826.43,44061.69,168.9,32059.16,32693.81,2.82,64755.79,121812.81,1,0,-85.7584557,38.2526647
14/01/2018,Orlando,1.55,86.64,639.81,0,5926.66,6.66,0,5933.32,6659.77,0,1,-81.379234,28.538336
14/01/2018,Northern New England,1.46,6,211.84,0,22419.2,0,0,22419.2,22637.04,0,1,-71.382437,42.407211
14/01/2018,Boston,1.49,10669.09,393026.08,2533.63,81610.31,45311.38,0,126921.69,533150.49,1,0,-71.057083,42.361145
14/01/2018,South Carolina,1.24,190128.64,82399.03,3424.35,105934.11,39865.79,2167.76,147967.66,423919.68,1,0,-81.163727,33.836082
14/01/2018,Northeast,1.67,14282.25,33534.86,58.59,206708.26,18106.17,0,224814.43,272690.13,0,1,,
14/01/2018,New York,1.91,7433.43,17885.26,49.43,60763.71,500.42,0,61264.13,86632.25,0,1,-73.935242,40.73061
14/01/2018,Hartford/Springfield,2.02,122.85,4410.11,0,9911.02,4.88,0,9915.9,14448.86,0,1,-89.65002,39.79999
14/01/2018,Indianapolis,1.2,42103.61,39886.19,14213.38,87576.92,4431.35,19.94,92028.21,188231.39,1,0,-86.148003,39.791
14/01/2018,New Orleans/Mobile,1.42,158.28,101.58,0,6847.77,23.34,0,6871.11,7130.97,0,1,-90.071533,29.95106
14/01/2018,Nashville,1.58,47.32,2392.03,0,3581.76,1597.74,0,5179.5,7618.85,0,1,-86.76796,36.174465
14/01/2018,Spokane,1.2,25067.66,30621.77,483.2,22425.95,23850.96,88.41,46365.32,102537.95,1,0,-117.426048,47.658779
14/01/2018,Seattle,1.26,109322.06,214002.35,1034.16,136005.01,248487.47,1052.08,385544.56,709903.13,1,0,-122.335167,47.608013
14/01/2018,Jacksonville,1.57,44.77,587.12,5.12,2171.83,0,0,2171.83,2808.84,0,1,-81.655647,30.332184
14/01/2018,Phoenix/Tucson,0.81,628591.78,284087.44,15249.83,200603.91,221593.36,4786.66,426983.93,1354912.98,1,0,-112.074036,33.448376
14/01/2018,Baltimore/Washington,1.39,1264.25,10025.87,105.72,54746.77,6.66,0,54753.43,66149.27,0,1,-120.740135,47.751076
14/01/2018,St. Louis,1.36,76981.79,12192.94,419.29,65370.95,16227.52,0,81598.47,171192.49,1,0,-90.199402,38.627003
14/01/2018,Spokane,1.85,150.54,1948.36,0,564.45,1749.19,0,2313.64,4412.54,0,1,-117.426048,47.658779
14/01/2018,Nashville,1.04,131981.77,22212.81,355.01,97153.34,38004.65,1613.33,136771.32,291320.91,1,0,-86.76796,36.174465
14/01/2018,California,1.61,52253.4,95353.95,0,69054.51,19.18,0,69073.69,216681.04,0,1,-119.417931,36.778259
14/01/2018,Great Lakes,1.31,778207.19,1040627.93,294793.29,1117531.11,183163.55,23240.2,1323934.86,3437563.27,1,0,-82.484612,45.052238
14/01/2018,Total U.S.,1.2,12600918.24,11866197.84,652808.4,8128241.88,3917569.95,134208.91,12180020.74,37299945.22,1,0,,
14/01/2018,Boise,1.81,51.93,802.89,0,350.29,925.02,0,1275.31,2130.13,0,1,-116.215019,43.618881
14/01/2018,Miami /Ft. Lauderdale,1.46,416705.54,53783.64,2713.93,81480.75,63228.55,0,144709.3,617912.41,1,0,-80.191788,25.761681
14/01/2018,Albany,1.42,2897.41,76570.67,44,10012.8,5721.5,0,15734.3,95246.38,1,0,-73.756233,42.65258
14/01/2018,Richmond/Norfolk,1.19,76364.47,126208.57,1844.45,84944.73,21823.43,0,106768.16,311185.65,1,0,-77.4360481,37.5407246
14/01/2018,Chicago,1.64,82376.44,440322.05,134141.55,93374.57,12782.92,0,106157.49,762997.53,1,0,-87.623177,41.881832
14/01/2018,St. Louis,1.97,2054.96,1185.62,0,2004.4,2893.96,0,4898.36,8138.94,0,1,-90.199402,38.627003
14/01/2018,West,1.82,33869.12,47435.14,433.52,89115.78,37133.99,12.12,126261.89,207999.67,0,1,,
14/01/2018,Sacramento,1.31,144109.69,299605.5,1249.15,52486.47,754.65,6063.77,59304.89,504269.23,1,0,-121.478851,38.575764
14/01/2018,Buffalo/Rochester,1.19,318.7,133.26,0,3248.18,7164.81,0,10412.99,10864.95,0,1,-78.878738,42.88023
14/01/2018,Syracuse,1.25,116.19,64.16,0,1986.09,2176.65,0,4162.74,4343.09,0,1,-76.15448,43.088947
14/01/2018,Las Vegas,1.16,79986.22,96281.04,7841.07,71330.43,67126.63,366.67,138823.73,322932.06,1,0,-115.172813,36.114647
14/01/2018,Grand Rapids,1.63,2444.54,60928.74,30487.47,27912.73,1824.11,9119.06,38855.9,132716.65,1,0,-85.670006,42.963795
14/01/2018,Columbus,1.07,77236.77,24462.37,3266.68,75499.35,14125.61,28.53,89653.49,194619.31,1,0,-82.98333,39.983334
14/01/2018,Tampa,1.53,106.98,496.61,0,6634.45,0,0,6634.45,7238.04,0,1,-82.452606,27.964157
